CYBC, BAIE-COMEAU, QC
CYFT, MAKKOVIK, NL
CZBF, BATHURST, NB
CYMH, MARYS HARBOUR, NL
CWKW, CAPE KAKKIVIAK, NL
CYQM, MONCTON/GREATER MONCTON ROMEO LEBLANC INTL, NB
CWYK, CAPE KIGLAPAIT, NL
CYYY, MONT-JOLI, QC
CWCA, CARTWRIGHT, NL
CYDP, NAIN, NL
CYCA, CARTWRIGHT, NL
CYNA, NATASHQUAN, QC
CYYG, CHARLOTTETOWN, PE
CYPD, PORT HAWKESBURY, NS
CZUM, CHURCHILL FALLS, NL
CWSA, SABLE ISLAND, NS
CYDF, DEER LAKE, NL
CYFC, FREDERICTON INTL, NB
CYCX, GAGETOWN, NB
CWZZ, SAGLEK, NL
CYQX, GANDER/GANDER INTL, NL
CYSJ, SAINT JOHN, NB
CYGP, GASPE (MICHEL-POULIOT), QC
LFVP, SAINT PIERRE, LF
CYYR, GOOSE BAY, NL
CYZV, SEPT-ILES, QC
CYZX, GREENWOOD, NS
CYAY, ST. ANTHONY, NL
CYAW, HALIFAX/SHEARWATER, NS
CYYT, ST. JOHN'S INTL, NL
CYHZ, HALIFAX/STANFIELD INTL, NS
CYSL, ST. LEONARD, NB
CYGV, HAVRE ST-PIERRE, QC
CYJT, STEPHENVILLE, NL
CYGR, ILES-DE-LA-MADELEINE, QC
CYQY, SYDNEY/J.A. DOUGLAS MCCURDY, NS
CYLU, KANGIQSUALUJJUAQ (GEORGES RIVER), QC
CWTU, TUKIALIK BAY, NL
CWWU, LONG POND, NL
CYWK, WABUSH, NL
CCX2, LONG POND, NL
CYQI, YARMOUTH, NS
CYBX, LOURDES-DE-BLANC-SABLON, QC
