CYLT, ALERT, NU
CWGZ, GRISE FIORD, NU
CYAB, ARCTIC BAY, NU
CYGZ, GRISE FIORD, NU
CWEU, EUREKA, NU
CYIO, POND INLET, NU
CYEU, EUREKA, NU
CYRB, RESOLUTE BAY, NU
CYBC, BAIE-COMEAU, QC
CYFT, MAKKOVIK, NL
CZBF, BATHURST, NB
CYMH, MARYS HARBOUR, NL
CWKW, CAPE KAKKIVIAK, NL
CYQM, MONCTON/GREATER MONCTON ROMEO LEBLANC INTL, NB
CWYK, CAPE KIGLAPAIT, NL
CYYY, MONT-JOLI, QC
CWCA, CARTWRIGHT, NL
CYDP, NAIN, NL
CYCA, CARTWRIGHT, NL
CYNA, NATASHQUAN, QC
CYYG, CHARLOTTETOWN, PE
CYPD, PORT HAWKESBURY, NS
CZUM, CHURCHILL FALLS, NL
CWSA, SABLE ISLAND, NS
CYDF, DEER LAKE, NL
CYFC, FREDERICTON INTL, NB
CYCX, GAGETOWN, NB
CWZZ, SAGLEK, NL
CYQX, GANDER/GANDER INTL, NL
CYSJ, SAINT JOHN, NB
CYGP, GASPE (MICHEL-POULIOT), QC
LFVP, SAINT PIERRE, LF
CYYR, GOOSE BAY, NL
CYZV, SEPT-ILES, QC
CYZX, GREENWOOD, NS
CYAY, ST. ANTHONY, NL
CYAW, HALIFAX/SHEARWATER, NS
CYYT, ST. JOHN'S INTL, NL
CYHZ, HALIFAX/STANFIELD INTL, NS
CYSL, ST. LEONARD, NB
CYGV, HAVRE ST-PIERRE, QC
CYJT, STEPHENVILLE, NL
CYGR, ILES-DE-LA-MADELEINE, QC
CYQY, SYDNEY/J.A. DOUGLAS MCCURDY, NS
CYLU, KANGIQSUALUJJUAQ (GEORGES RIVER), QC
CWTU, TUKIALIK BAY, NL
CWWU, LONG POND, NL
CYWK, WABUSH, NL
CCX2, LONG POND, NL
CYQI, YARMOUTH, NS
CYBX, LOURDES-DE-BLANC-SABLON, QC
CYKO, AKULIVIK, QC
CYIK, IVUJIVIK, QC
CYEK, ARVIAT, NU
CYKG, KANGIQSUJUAQ/KANGIQSUJUAQ (WAKEHAM BAY), QC
CYBK, BAKER LAKE, NU
CYAS, KANGIRSUK, QC
CWOB, BREVOORT ISLAND, NU
CYLC, KIMMIRUT, NU
CWVD, BROUGHTON ISLAND, NU
CYBB, KUGAARUK, NU
CWRF, CAM-4(PELLY BAY 1), NU
CWLX, LONGSTAFF BLUFF, NU
CYTE, CAPE DORSET, NU
CYUT, NAUJAAT, NU
CWFD, CAPE DYER, NU
CYXP, PANGNIRTUNG, NU
CWUP, CAPE HOOPER, NU
CYPX, PUVIRNITUQ, QC
CWYM, CAPE MERCY, NU
CYVM, QIKIQTARJUAQ, NU
CYCS, CHESTERFIELD INLET, NU
CYHA, QUAQTAQ, QC
CYCY, CLYDE RIVER, NU
CYRT, RANKIN INLET, NU
CYZS, CORAL HARBOUR, NU
CWRH, RESOLUTION ISLAND, NU
CWUW, DEWAR LAKES, NU
CWRX, ROWLEY ISLAND, NU
CYHK, GJOA HAVEN, NU
CYZG, SALLUIT, QC
CYUX, HALL BEACH, NU
CYUS, SHEPHERD BAY, NU
CYGT, IGLOOLIK, NU
CYYH, TALOYOAK, NU
CYFB, IQALUIT, NU
CYXN, WHALE COVE, NU
CYYW, ARMSTRONG, ON
CYND, OTTAWA/GATINEAU, QC
CYAT, ATTAWAPISKAT, ON
CYOW, OTTAWA/MACDONALD-CARTIER INTL, ON
CYLA, AUPALUK, QC
CYPO, PEAWANUCK, ON
CYBG, BAGOTVILLE, QC
CYWA, PETAWAWA, ON
CYTL, BIG TROUT LAKE, ON
CYPQ, PETERBOROUGH, ON
CYBN, BORDEN, ON
CYPL, PICKLE LAKE, ON
CYLD, CHAPLEAU, ON
CYQB, QUEBEC/JEAN LESAGE INTL, QC
CYCK, CHATHAM-KENT, ON
CYRL, RED LAKE, ON
CYMT, CHIBOUGAMAU/CHAPAIS, QC
CYRJ, ROBERVAL, QC
CYHD, DRYDEN REGIONAL, ON
CYUY, ROUYN-NORANDA, QC
CYXR, EARLTON/EARLTON (TIMISKAMING REGIONAL), ON
CZSJ, SANDY LAKE, ON
CZEM, EASTMAIN RIVER, QC
CYSK, SANIKILUAQ, NU
CYER, FORT SEVERN, ON
CYZR, SARNIA (CHRIS HADFIELD), ON
CYGQ, GERALDTON (GREENSTONE REGIONAL), ON
CYAM, SAULT STE. MARIE, ON
CYZE, GORE BAY-MANITOULIN, ON
CYKL, SCHEFFERVILLE, QC
CYHM, HAMILTON, ON
CYSC, SHERBROOKE, QC
CYPH, INUKJUAK, QC
CYXL, SIOUX LOOKOUT, ON
CYYU, KAPUSKASING, ON
CYSN, ST. CATHARINES/NIAGARA DISTRICT, ON
CYQK, KENORA, ON
CYSB, SUDBURY, ON
CYGK, KINGSTON, ON
CYTQ, TASIUJAQ, QC
CYKF, KITCHENER/WATERLOO, ON
CYTJ, TERRACE BAY, ON
CYVP, KUUJJUAQ, QC
CYQT, THUNDER BAY, ON
CYGW, KUUJJUARAPIK, QC
CYTS, TIMMINS (VICTOR M. POWER), ON
CYGL, LA GRANDE RIVIERE, QC
CYTZ, TORONTO/BILLY BISHOP TORONTO CITY AIRPORT, ON
CYAD, LA GRANDE-3, QC
CYKZ, TORONTO/BUTTONVILLE MUNICIPAL, ON
CYAH, LA GRANDE-4, QC
CYYZ, TORONTO/LESTER B. PEARSON INTL, ON
CYLH, LANSDOWNE HOUSE, ON
CYOO, TORONTO/OSHAWA EXECUTIVE AIRPORT, ON
CYXU, LONDON, ON
CYTR, TRENTON, ON
CYSP, MARATHON, ON
CYRQ, TROIS-RIVIERES, QC
CYNM, MATAGAMI, QC
CYMU, UMIUJAQ, QC
CYMX, MONTREAL INTL (MIRABEL), QC
CYVO, VAL-DOR, QC
