CYKO, AKULIVIK, QC
CYIK, IVUJIVIK, QC
CYEK, ARVIAT, NU
CYKG, KANGIQSUJUAQ/KANGIQSUJUAQ (WAKEHAM BAY), QC
CYBK, BAKER LAKE, NU
CYAS, KANGIRSUK, QC
CWOB, BREVOORT ISLAND, NU
CYLC, KIMMIRUT, NU
CWVD, BROUGHTON ISLAND, NU
CYBB, KUGAARUK, NU
CWRF, CAM-4(PELLY BAY 1), NU
CWLX, LONGSTAFF BLUFF, NU
CYTE, CAPE DORSET, NU
CYUT, NAUJAAT, NU
CWFD, CAPE DYER, NU
CYXP, PANGNIRTUNG, NU
CWUP, CAPE HOOPER, NU
CYPX, PUVIRNITUQ, QC
CWYM, CAPE MERCY, NU
CYVM, QIKIQTARJUAQ, NU
CYCS, CHESTERFIELD INLET, NU
CYHA, QUAQTAQ, QC
CYCY, CLYDE RIVER, NU
CYRT, RANKIN INLET, NU
CYZS, CORAL HARBOUR, NU
CWRH, RESOLUTION ISLAND, NU
CWUW, DEWAR LAKES, NU
CWRX, ROWLEY ISLAND, NU
CYHK, GJOA HAVEN, NU
CYZG, SALLUIT, QC
CYUX, HALL BEACH, NU
CYUS, SHEPHERD BAY, NU
CYGT, IGLOOLIK, NU
CYYH, TALOYOAK, NU
CYFB, IQALUIT, NU
CYXN, WHALE COVE, NU
