CYYW, ARMSTRONG, ON
CYND, OTTAWA/GATINEAU, QC
CYAT, ATTAWAPISKAT, ON
CYOW, OTTAWA/MACDONALD-CARTIER INTL, ON
CYLA, AUPALUK, QC
CYPO, PEAWANUCK, ON
CYBG, BAGOTVILLE, QC
CYWA, PETAWAWA, ON
CYTL, BIG TROUT LAKE, ON
CYPQ, PETERBOROUGH, ON
CYBN, BORDEN, ON
CYPL, PICKLE LAKE, ON
CYLD, CHAPLEAU, ON
CYQB, QUEBEC/JEAN LESAGE INTL, QC
CYCK, CHATHAM-KENT, ON
CYRL, RED LAKE, ON
CYMT, CHIBOUGAMAU/CHAPAIS, QC
CYRJ, ROBERVAL, QC
CYHD, DRYDEN REGIONAL, ON
CYUY, ROUYN-NORANDA, QC
CYXR, EARLTON/EARLTON (TIMISKAMING REGIONAL), ON
CZSJ, SANDY LAKE, ON
CZEM, EASTMAIN RIVER, QC
CYSK, SANIKILUAQ, NU
CYER, FORT SEVERN, ON
CYZR, SARNIA (CHRIS HADFIELD), ON
CYGQ, GERALDTON (GREENSTONE REGIONAL), ON
CYAM, SAULT STE. MARIE, ON
CYZE, GORE BAY-MANITOULIN, ON
CYKL, SCHEFFERVILLE, QC
CYHM, HAMILTON, ON
CYSC, SHERBROOKE, QC
CYPH, INUKJUAK, QC
CYXL, SIOUX LOOKOUT, ON
CYYU, KAPUSKASING, ON
CYSN, ST. CATHARINES/NIAGARA DISTRICT, ON
CYQK, KENORA, ON
CYSB, SUDBURY, ON
CYGK, KINGSTON, ON
CYTQ, TASIUJAQ, QC
CYKF, KITCHENER/WATERLOO, ON
CYTJ, TERRACE BAY ON/OBS
CYVP, KUUJJUAQ, QC
CYQT, THUNDER BAY, ON
CYGW, KUUJJUARAPIK, QC
CYTS, TIMMINS (VICTOR M. POWER), ON
CYGL, LA GRANDE RIVIERE, QC
CYTZ, TORONTO/BILLY BISHOP TORONTO CITY AIRPORT, ON
CYAD, LA GRANDE-3, QC
CYKZ, TORONTO/BUTTONVILLE MUNICIPAL, ON
CYAH, LA GRANDE-4, QC
CYYZ, TORONTO/LESTER B. PEARSON INTL, ON
CYLH, LANSDOWNE HOUSE, ON
CYOO, TORONTO/OSHAWA EXECUTIVE AIRPORT, ON
CYXU, LONDON, ON
CYTR, TRENTON, ON
CYSP, MARATHON, ON
CYRQ, TROIS-RIVIERES, QC
CYNM, MATAGAMI, QC
CYMU, UMIUJAQ, QC
CYMX, MONTREAL INTL (MIRABEL), QC
CYVO, VAL-DOR, QC
CYUL, MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL, QC
CYOY, VALCARTIER (W/C J.H.L. (JOE) LECOMTE), QC
CYHU, MONTREAL/ST-HUBERT, QC
CWQG, VALCARTIER, QC
CYMO, MOOSONEE, ON
CYKQ, WASKAGANISH, QC
CYQA, MUSKOKA, ON
CYXZ, WAWA, ON
CZMD, MUSKRAT DAM, ON
CYNC, WEMINDJI, QC
CYHH, NEMISCAU, QC
CYVV, WIARTON, ON
CYYB, NORTH BAY, ON
CYQG, WINDSOR, ON
CYKP, OGOKI POST, ON
