CYXX, ABBOTSFORD, BC
CYCD, NANAIMO, BC
CBBC, BELLA BELLA/BELLA BELLA (CAMPBELL ISLAND), BC
CYYF, PENTICTON, BC
CYBD, BELLA COOLA, BC
CYZT, PORT HARDY, BC
CYCP, BLUE RIVER, BC
CYPW, POWELL RIVER, BC
CYBL, CAMPBELL RIVER, BC
CYXS, PRINCE GEORGE, BC
CYCG, CASTLEGAR/WEST KOOTENAY REGIONAL, BC
CYPR, PRINCE RUPERT, BC
CYCQ, CHETWYND, BC
CYDC, PRINCETON, BC
CWCL, CLINTON, BC
CYQZ, QUESNEL, BC
CYIN, CLINTON/BLEIBLER RANCH, BC
CYRV, REVELSTOKE, BC
CYQQ, COMOX, BC
CYZP, SANDSPIT, BC
CYXC, CRANBROOK/CANADIAN ROCKIES INTL, BC
CYYD, SMITHERS, BC
CYDQ, DAWSON CREEK, BC
CWSW, SPARWOOD, BC
CWDL, DEASE LAKE, BC
CYSW, SPARWOOD/ELK VALLEY, BC
CYDL, DEASE LAKE, BC
CZST, STEWART, BC
CYYE, FORT NELSON, BC
CYXT, TERRACE, BC
CYXJ, FORT ST. JOHN, BC
CYAZ, TOFINO/LONG BEACH, BC
CYGE, GOLDEN, BC
CYVR, VANCOUVER INTL, BC
CYHE, HOPE, BC
CYWH, VICTORIA HARBOUR, BC
CYKA, KAMLOOPS, BC
CYYJ, VICTORIA INTL, BC
CYLW, KELOWNA, BC
CAW4, WHISTLER (HOSPITAL), BC
CWLY, LYTTON, BC
CBE9, WHISTLER (MUNICIPAL), BC
CYZY, MACKENZIE, BC
CWAE, WHISTLER, BC
CZMT, MASSET, BC
CYWL, WILLIAMS LAKE, BC
CWWQ, MUNCHO LAKE, BC
