CYBV, BERENS RIVER, MB
CYLL, LLOYDMINSTER, AB
CYBR, BRANDON MUNICIPALITY, MB
CYYL, LYNN LAKE, MB
CYVT, BUFFALO NARROWS, SK
CYLJ, MEADOW LAKE, SK
CYYC, CALGARY INTL, AB
CYXH, MEDICINE HAT, AB
CYBW, CALGARY/SPRINGBANK, AB
CYMJ, MOOSE JAW/AIR VICE MARSHAL C.M. MCEWEN, SK
CYYQ, CHURCHILL, MB
CYBU, NIPAWIN, SK
CYOD, COLD LAKE/GROUP CAPTAIN R.W. MCNAIR, AB
CYQW, NORTH BATTLEFORD, SK
CYDN, DAUPHIN (LT. COL W.G.(BILLY) BARKER, VC), MB
CYNE, NORWAY HOUSE, MB
CYEG, EDMONTON INTL, AB
CYPE, PEACE RIVER, AB
CYED, EDMONTON/NAMAO, AB
CZPC, PINCHER CREEK, AB
CZVL, EDMONTON/VILLENEUVE, AB
CYPG, PORTAGE LA PRAIRIE/SOUTHPORT, MB
CYET, EDSON, AB
CWIQ, PRIMROSE LAKE, AB
CYEN, ESTEVAN REGIONAL, SK
CYPA, PRINCE ALBERT (GLASS FIELD), SK
CYFO, FLIN FLON, MB
CYQF, RED DEER REGIONAL, AB
CYPY, FORT CHIPEWYAN, AB
CYQR, REGINA INTL, SK
CYMM, FORT MCMURRAY, AB
CYXE, SASKATOON/JOHN G. DIEFENBAKER INTL, SK
CYGX, GILLAM, MB
CYZH, SLAVE LAKE, AB
CYQU, GRANDE PRAIRIE, AB
CYSF, STONY RAPIDS, SK
CYOJ, HIGH LEVEL, AB
CYYN, SWIFT CURRENT, SK
CYIV, ISLAND LAKE, MB
CYBQ, TADOULE LAKE, MB
CWHN, JIMMY LAKE, SK
CYQD, THE PAS, MB
CYKJ, KEY LAKE, SK
CYTH, THOMPSON, MB
CYKY, KINDERSLEY/KINDERSLEY REGIONAL, SK
CYZU, WHITECOURT, AB
CYVC, LA RONGE (BARBER FIELD), SK
CYWG, WINNIPEG/JAMES ARMSTRONG RICHARDSON INTL, MB
CYQL, LETHBRIDGE, AB
CYQV, YORKTON MUNICIPALITY, SK
